pregunta,a,b,c,d,correcta,materia,tema
¿Cuál es el resultado de simplificar (3/5)+(1/4)-(2/3)?,11/60,-11/60,13/60,1/10,b,Matemáticas,Operaciones con núm. reales complejos y expr. algebraicas
El resultado de (2+5i)-(3-2i) es:,-1+7i,5+3i,-1+3i,5+7i,a,Matemáticas,Operaciones con núm. reales complejos y expr. algebraicas
Al simplificar 4x-[2y+3x-(5y-x)] se obtiene:,0,2x-7y,-3y,8y-2x,a,Matemáticas,Operaciones con núm. reales complejos y expr. algebraicas
¿Cuál es la factorización de x²-7x+12?,(x-3)(x-4),(x+3)(x+4),(x-2)(x-6),(x+2)(x+6),a,Matemáticas,Productos notables y factorización
¿A qué es igual (2x-1)³?,8x³-12x²+6x-1,8x³-6x²+6x-1,8x³+12x²-6x+1,8x³-1,a,Matemáticas,Productos notables y factorización
¿Cuál es el residuo al dividir 2x³-5x²+x-3 entre (x-2)?,-5,-1,1,5,b,Matemáticas,Productos notables y factorización
Al simplificar (x²-9)/(x²+4x+3) se obtiene:,(x-3)/(x+1),(x+3)/(x+1),(x-3)/(x+3),1,a,Matemáticas,Productos notables y factorización
El resultado de (x/(x+1))+(1/(x-1)) es:,(x²+1)/(x²-1),(x+1)/(x²-1),(x²-1)/(x²-1),(2x+1)/(x²-1),a,Matemáticas,Productos notables y factorización
La solución de 5x-3(2x-4)=2x+12 es:,0,-8,8,16,a,Matemáticas,Ecuaciones
¿Cuáles son las raíces de x²+6x+8=0?,x=-2 x=-4,x=2 x=4,x=-1 x=-8,x=1 x=8,a,Matemáticas,Ecuaciones
Para 2x²-4x+3=0 el discriminante es:,-8,8,-4,4,a,Matemáticas,Ecuaciones
¿Cuál es el conjunto solución de 3x+5>2x-7?,x>-12,x<-12,x>12,x<12,a,Matemáticas,Desigualdades
El intervalo solución de -4≤2x-6<8 es:,1≤x<7,-1≤x<1,-5≤x<1,5≤x<14,a,Matemáticas,Desigualdades
La solución del sistema {2x+y=7; x-y=-1} es:,x=2 y=3,x=3 y=1,x=1 y=5,x=4 y=-1,a,Matemáticas,Sistemas de ecuaciones
