Pregunta,A,B,C,D,Correcta,Materia,Tema
"Un automóvil viaja en línea recta con velocidad constante de 72 km/h. ¿Qué distancia recorre en 15 minutos?", "1.8 km", "18 km", "5 km", "72 km", B, Física, Cinemática
"¿Cuál de las siguientes es una cantidad vectorial?", "Temperatura", "Tiempo", "Masa", "Aceleración", D, Física, Cinemática
"Un objeto en caída libre desde el reposo tarda 4 segundos en llegar al suelo. ¿Desde qué altura cayó? (g=9.8 m/s²)", "39.2 m", "78.4 m", "19.6 m", "156.8 m", B, Física, Cinemática
"Se lanza un proyectil horizontalmente desde una altura de 45 m con una velocidad de 20 m/s. ¿Cuál es su alcance horizontal? (g=10 m/s²)", "30 m", "60 m", "90 m", "45 m", B, Física, Cinemática
"¿Cuál de los siguientes gráficos representa un movimiento rectilíneo uniforme (velocidad constante)?", "Gráfico posición-tiempo con pendiente creciente.", "Gráfico velocidad-tiempo con pendiente constante.", "Gráfico posición-tiempo con pendiente constante.", "Gráfico velocidad-tiempo con pendiente cero.", D, Física, Cinemática
"Si la velocidad de un móvil se triplica, su energía cinética se:", "Triplica.", "Sextuplica.", "Nonaplica.", "No cambia.", C, Física, Trabajo y leyes de la conservación
"De acuerdo con la Primera Ley de Newton (Ley de Inercia), un cuerpo:", "Permanece en reposo o en movimiento rectilíneo uniforme a menos que una fuerza neta actúe sobre él.", "Se acelera proporcionalmente a la fuerza neta aplicada.", "Ejerce una fuerza de reacción igual y opuesta a la fuerza aplicada.", "Se mueve siempre en la dirección de la fuerza neta.", A, Física, Fuerzas| leyes de Newton y Ley de la Gravitación Universal
"La fuerza de atracción gravitacional entre dos masas es inversamente proporcional a:", "El cuadrado de la distancia que las separa.", "La distancia que las separa.", "El cubo de la distancia que las separa.", "La raíz cuadrada de la distancia que las separa.", A, Física, Fuerzas| leyes de Newton y Ley de la Gravitación Universal
"Sobre un cuerpo de 5 kg actúa una fuerza neta constante de 10 N. ¿Cuál es su aceleración?", "0.5 m/s²", "2 m/s²", "5 m/s²", "50 m/s²", B, Física, Fuerzas| leyes de Newton y Ley de la Gravitación Universal
"Para convertir un valor de temperatura Celsius (T_C) a su valor equivalente en la escala Kelvin (T_K), se emplea la expresión:", "T_K = (T_C - 32) / 1.8", "T_K = T_C + 273", "T_K = T_C - 273", "T_K = 1.8 (T_C + 273)", B, Física, Termodinámica
"El principio de Arquímedes se refiere a...", "La ganancia de fuerza en un sistema hidráulico.", "El aumento de velocidad de un fluido en una tubería angosta.", "La fuerza de empuje que recibe un objeto sumergido en un fluido.", "La distribución uniforme de la presión en un fluido.", C, Física, Fluidos
"El fenómeno que puso de manifiesto el carácter dual onda-partícula de la luz fue:", "El efecto fotoeléctrico.", "La producción de rayos X.", "El descubrimiento de los rayos catódicos.", "La radioactividad natural.", A, Física, Física contemporánea
"Se dice que dos sistemas están en equilibrio térmico cuando:", "Sus temperaturas son iguales.", "Su presión y masa no varían.", "No intercambian energía mediante trabajo.", "Sus volúmenes permanecen constantes.", A, Física, Termodinámica
"Un bloque de 10 kg se levanta verticalmente a una altura de 5 m con velocidad constante. ¿Cuál es el trabajo realizado por la fuerza de gravedad? (g=10 m/s²)", "500 J", "-500 J", "0 J", "50 J", B, Física, Trabajo y leyes de la conservación
